game_date,home_team,away_team,home_win,diff_p_xFIP,diff_p_K-BB%,diff_bat_wRC+,diff_p_ERA,diff_p_WHIP,diff_p_FIP,diff_p_SIERA,diff_p_K%,diff_p_BB%,home_roll5_run_diff_mean,diff_roll5_run_diff_mean,home_h2h_win_pct,away_h2h_win_pct,diff_h2h_win_pct,diff_h2h_runs_scored_avg,diff_h2h_runs_allowed_avg
2023-08-23,PHI,SF,0,1.17,-0.043,-0.0906432748538037,0.3099999999999996,-0.1100000000000001,0.4500000000000002,1.06,-0.025000000000000022,0.017999999999999995,2.8,5.0,0.2727272727272727,0.7272727272727273,-0.4545454545454546,-1.6363636363636367,1.6363636363636367
2023-08-23,TB,COL,1,-0.9800000000000004,0.092,-0.0906432748538037,-2.04,-0.33,-1.8599999999999999,-1.0899999999999999,0.08600000000000002,-0.0059999999999999915,1.6,0.8,1.0,0.0,1.0,8.0,-8.0
2023-08-23,MIL,MIN,1,-0.18000000000000016,-0.0369999999999999,-4.131578947368425,-0.8400000000000003,-0.0999999999999998,-0.20999999999999952,0.2599999999999998,-0.018000000000000016,0.019000000000000003,2.6,3.0,0.5714285714285714,0.4285714285714285,0.1428571428571429,1.0,-1.0
2023-08-23,SD,MIA,1,-0.2400000000000002,0.0369999999999999,-0.0906432748538037,-0.5699999999999998,-0.01,-0.20000000000000018,-0.27,0.03399999999999989,-0.0030000000000000027,0.2,0.6000000000000001,0.5833333333333334,0.4166666666666667,0.16666666666666669,1.0,-1.0
2023-08-23,ATH,KC,0,1.79,-0.138,-0.0906432748538037,4.129999999999999,0.8,2.9499999999999997,1.6199999999999997,-0.13699999999999998,0.0,-3.6,-2.6,0.4666666666666667,0.5333333333333333,-0.06666666666666665,-0.20000000000000018,0.20000000000000018
2023-08-23,DET,CHC,0,-1.9300000000000002,0.1329999999999999,0.2460317460317469,-2.04,-0.38,-2.6100000000000003,-1.5699999999999998,0.11499999999999991,-0.018000000000000002,1.4,1.2,0.5,0.5,0.0,0.5,-0.5
2023-08-23,PIT,STL,0,1.5499999999999998,-0.136,9.045454545454549,0.2999999999999998,0.28,1.7000000000000002,1.6400000000000001,-0.10300000000000001,0.033,2.0,7.2,0.4814814814814814,0.5185185185185185,-0.03703703703703709,-0.5925925925925926,0.5925925925925926
2023-08-23,LAA,CIN,0,0.96,-0.079,-21.22115384615384,1.5599999999999996,0.1699999999999999,0.7199999999999998,0.9000000000000004,-0.07200000000000012,0.0059999999999999915,-1.0,-0.8,0.5,0.5,0.0,-1.75,1.75
2023-08-23,CWS,SEA,1,2.05,-0.1289999999999999,-0.0906432748538037,2.0799999999999996,0.55,3.12,1.7000000000000002,0.0,0.129,-5.8,-10.8,0.5,0.5,0.0,-0.6428571428571428,0.6428571428571428
2023-08-24,AZ,CIN,1,-0.8899999999999997,0.043,-0.0906432748538037,-1.17,-0.09,-0.7799999999999998,-0.5999999999999996,0.059,0.017,0.8,1.0,0.2307692307692307,0.7692307692307693,-0.5384615384615385,-2.230769230769231,2.230769230769231
2023-08-24,CWS,ATH,0,0.20000000000000018,-0.021,-0.0906432748538037,-0.0700000000000002,-0.03,0.009999999999999787,0.20999999999999996,-0.05299999999999999,-0.031,-3.0,0.3999999999999999,0.6153846153846154,0.3846153846153846,0.23076923076923084,1.3076923076923075,-1.3076923076923075
2023-08-24,MIN,TEX,1,-1.3000000000000003,0.0899999999999999,7.650000000000006,-0.4900000000000002,-0.2299999999999999,-1.33,-1.0300000000000002,0.055999999999999994,-0.034,-0.4,2.4,0.2857142857142857,0.7142857142857143,-0.4285714285714286,-1.4285714285714284,1.4285714285714284
2023-08-24,TB,COL,1,-0.1899999999999995,-0.006,-0.0906432748538037,1.0499999999999998,0.1800000000000001,-0.39000000000000057,-0.1900000000000004,-0.03199999999999989,-0.027999999999999997,3.2,2.2,1.0,0.0,1.0,4.5,-4.5
